manager,season,gw,gw_points,total_points,avg_last3,avg_last5,std_last5,final_points
charlieh,2022,10,56,420,56.666666666666664,43.8,26.621419947102748,1906.0
charlieh,2022,11,32,452,43.666666666666664,40.4,26.875639527274508,1906.0
charlieh,2022,12,30,482,39.333333333333336,46.4,17.21336689901194,1906.0
charlieh,2022,13,55,537,39.0,43.2,12.275992831539126,1906.0
charlieh,2022,14,53,590,46.0,45.2,13.026895255585652,1906.0
charlieh,2022,15,58,648,55.333333333333336,45.6,13.464768843169942,1906.0
charlieh,2022,16,36,684,49.0,46.4,12.541929676090518,1906.0
charlieh,2022,17,45,729,46.333333333333336,49.4,8.905054744357274,1906.0
charlieh,2022,18,32,761,37.666666666666664,44.8,10.986355173577815,1906.0
charlieh,2022,19,44,805,40.333333333333336,43.0,10.0,1906.0
charlieh,2022,20,55,860,43.666666666666664,42.4,8.905054744357274,1906.0
charlieh,2022,21,54,914,51.0,46.0,9.300537618869138,1906.0
charlieh,2022,22,84,998,64.33333333333333,53.8,19.266551326067674,1906.0
charlieh,2022,23,83,1081,73.66666666666667,64.0,18.316659084014205,1906.0
charlieh,2022,24,52,1133,73.0,65.6,16.37986568931504,1906.0
charlieh,2022,25,55,1188,63.333333333333336,65.6,16.37986568931504,1906.0
charlieh,2022,26,37,1225,48.0,62.2,20.6082507748717,1906.0
charlieh,2022,27,55,1280,49.0,56.4,16.63730747446834,1906.0
charlieh,2022,28,22,1302,38.0,44.2,14.481022063376606,1906.0
charlieh,2022,29,100,1402,59.0,53.8,29.286515668477875,1906.0
charlieh,2022,30,54,1456,58.666666666666664,53.6,29.27968579066381,1906.0
charlieh,2022,31,52,1508,68.66666666666667,56.6,27.889065957826553,1906.0
charlieh,2022,32,43,1551,49.666666666666664,54.2,28.569214199904064,1906.0
charlieh,2022,33,44,1595,46.333333333333336,58.6,23.638950907347812,1906.0
charlieh,2022,34,110,1705,65.66666666666667,60.6,28.032124428947586,1906.0
charlieh,2022,35,20,1725,58.0,53.8,33.60357123878354,1906.0
charlieh,2022,36,83,1808,71.0,60.0,35.96526101670889,1906.0
charlieh,2022,37,71,1879,58.0,65.6,34.81809874188997,1906.0
charlieh,2022,38,27,1906,60.333333333333336,62.2,38.12741795611132,1906.0
eve,2022,1,50,50,50.0,50.0,0.0,2028.0
eve,2022,2,41,91,45.5,45.5,6.363961030678928,2028.0
eve,2022,3,56,147,49.0,49.0,7.54983443527075,2028.0
eve,2022,4,62,209,53.0,52.25,8.958236433584458,2028.0
eve,2022,5,85,294,67.66666666666667,58.8,16.57407614318216,2028.0
eve,2022,6,52,346,66.33333333333333,59.2,16.33095220738828,2028.0
eve,2022,7,0,346,45.666666666666664,51.0,31.240998703626616,2028.0
eve,2022,8,35,381,29.0,46.8,31.807231882073612,2028.0
eve,2022,9,92,473,42.333333333333336,52.8,37.67890656587582,2028.0
eve,2022,10,61,534,62.666666666666664,48.0,33.88952640566109,2028.0
eve,2022,11,30,564,61.0,43.6,34.65977495599185,2028.0
eve,2022,12,45,609,45.333333333333336,52.6,25.005999280172745,2028.0
eve,2022,13,54,663,43.0,56.4,23.02824352832842,2028.0
eve,2022,14,72,735,57.0,52.4,15.946786510140521,2028.0
eve,2022,15,55,790,60.333333333333336,51.2,15.352524222420223,2028.0
eve,2022,16,44,834,57.0,54.0,11.247221879201978,2028.0
