manager,season,gw,gw_points
allan,2023,16,51
allan,2023,17,43
allan,2023,18,44
allan,2023,19,58
allan,2023,20,59
allan,2023,21,56
allan,2023,22,64
allan,2023,23,63
allan,2023,24,82
allan,2023,25,84
allan,2023,26,67
allan,2023,27,53
allan,2023,28,71
allan,2023,29,12
allan,2023,30,50
allan,2023,31,24
allan,2023,32,75
allan,2023,33,60
allan,2023,34,142
allan,2023,35,63
allan,2023,36,93
allan,2023,37,90
allan,2023,38,67
artur,2023,1,72
artur,2023,2,80
artur,2023,3,34
artur,2023,4,83
artur,2023,5,37
artur,2023,6,80
artur,2023,7,74
artur,2023,8,41
artur,2023,9,75
artur,2023,10,45
artur,2023,11,34
artur,2023,12,57
artur,2023,13,50
artur,2023,14,74
artur,2023,15,40
artur,2023,16,62
artur,2023,17,57
artur,2023,18,29
artur,2023,19,33
artur,2023,20,88
artur,2023,21,56
artur,2023,22,60
artur,2023,23,64
artur,2023,24,63
artur,2023,25,70
artur,2023,26,57
artur,2023,27,54
artur,2023,28,52
artur,2023,29,16
artur,2023,30,67
artur,2023,31,48
artur,2023,32,66
artur,2023,33,77
artur,2023,34,84
artur,2023,35,53
artur,2023,36,88
artur,2023,37,102
artur,2023,38,74
azha,2023,1,43
azha,2023,2,23
azha,2023,3,42
azha,2023,4,106
azha,2023,5,46
azha,2023,6,66
azha,2023,7,51
azha,2023,8,40
azha,2023,9,52
azha,2023,10,84
azha,2023,11,38
azha,2023,12,51
azha,2023,13,37
azha,2023,14,46
azha,2023,15,33
azha,2023,16,44
azha,2023,17,39
azha,2023,18,38
azha,2023,19,26
azha,2023,20,67
azha,2023,21,27
azha,2023,22,34
azha,2023,23,50
azha,2023,24,59
azha,2023,25,68
azha,2023,26,58
azha,2023,27,65
azha,2023,28,46
azha,2023,29,8
azha,2023,30,36
azha,2023,31,41
azha,2023,32,48
azha,2023,33,52
azha,2023,34,67
azha,2023,35,48
azha,2023,36,95
azha,2023,37,83
azha,2023,38,48
charliebn,2023,1,68
charliebn,2023,2,46
charliebn,2023,3,41
charliebn,2023,4,79
charliebn,2023,5,42
charliebn,2023,6,65
charliebn,2023,7,55
charliebn,2023,8,35
charliebn,2023,9,108
charliebn,2023,10,60
charliebn,2023,11,32
charliebn,2023,12,52
charliebn,2023,13,50
charliebn,2023,14,46
charliebn,2023,15,50
charliebn,2023,16,67
charliebn,2023,17,47
charliebn,2023,18,38
charliebn,2023,19,43
charliebn,2023,20,80
charliebn,2023,21,35
charliebn,2023,22,45
charliebn,2023,23,81
charliebn,2023,24,66
charliebn,2023,25,89
charliebn,2023,26,70
charliebn,2023,27,48
charliebn,2023,28,54
charliebn,2023,29,19
charliebn,2023,30,37
charliebn,2023,31,45
charliebn,2023,32,61
charliebn,2023,33,45
charliebn,2023,34,130
charliebn,2023,35,70
charliebn,2023,36,62
charliebn,2023,37,95
charliebn,2023,38,59
charlieh,2023,1,67
charlieh,2023,2,36
charlieh,2023,3,53
charlieh,2023,4,73
charlieh,2023,5,48
charlieh,2023,6,81
charlieh,2023,7,40
charlieh,2023,8,26
charlieh,2023,9,94
charlieh,2023,10,64
charlieh,2023,11,25
charlieh,2023,12,51
charlieh,2023,13,25
charlieh,2023,14,61
charlieh,2023,15,41
charlieh,2023,16,65
charlieh,2023,17,26
charlieh,2023,18,49
charlieh,2023,19,38
charlieh,2023,20,36
charlieh,2023,21,40
charlieh,2023,22,52
charlieh,2023,23,26
charlieh,2023,24,49
charlieh,2023,25,57
charlieh,2023,26,20
charlieh,2023,27,52
charlieh,2023,28,51
charlieh,2023,29,18
charlieh,2023,30,58
charlieh,2023,31,23
charlieh,2023,32,53
charlieh,2023,33,26
charlieh,2023,34,80
charlieh,2023,35,37
charlieh,2023,36,62
charlieh,2023,37,41
charlieh,2023,38,46
damy,2023,1,66
damy,2023,2,62
damy,2023,3,40
damy,2023,4,89
damy,2023,5,39
damy,2023,6,73
damy,2023,7,69
damy,2023,8,24
damy,2023,9,56
damy,2023,10,58
damy,2023,11,33
damy,2023,12,54
damy,2023,13,55
damy,2023,14,59
damy,2023,15,23
damy,2023,16,31
damy,2023,17,26
damy,2023,18,40
damy,2023,19,52
